"Player","Position","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","Shots","SH%","ixG","iCF","iSCF","iHDCF","Rush Attempts","Rebound Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"Adam Gaudette","R","8.7","1","1","1","0","2","2","50","0.42","6","3","1","0","1","1","0","0","0","0","0","0","0","0","1","0","1","1","1","50"
"Artem Zub","D","20.133333333333","0","1","0","1","1","1","0","0.01","1","0","0","0","0","0","0","0","0","0","0","0","3","0","1","3","0","0","0","-"
"Brady Tkachuk","L","14.7","0","1","1","0","1","3","0","0.24","4","3","2","0","0","0","0","0","0","0","0","1","0","2","1","1","0","0","1","0"
"Claude Giroux","R","13.683333333333","0","1","0","1","1","1","0","0.11","1","1","1","0","0","0","0","0","0","0","0","0","3","0","3","1","0","4","3","57.14"
"Cole Reinhardt","L","5.4333333333333","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-"
"David Perron","L","11.95","0","1","0","1","1","2","0","0.39","4","2","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","-"
"Drake Batherson","R","14.05","0","0","0","0","0","2","0","0.14","3","3","1","1","0","1","0","0","0","0","0","1","1","0","1","1","0","0","0","-"
"Jake Sanderson","D","17.883333333333","1","0","0","0","1","2","50","0.06","4","0","0","0","0","0","0","0","0","0","0","0","2","0","0","3","3","0","0","-"
"Matthew Highmore","C","13.316666666667","0","1","1","0","1","1","0","0.27","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"Michael Amadio","R","14.766666666667","0","0","0","0","0","1","0","0.09","1","1","1","0","0","1","0","0","0","0","0","0","0","0","2","1","2","1","1","50"
"Nikolas Matinpalo","D","12.266666666667","0","0","0","0","0","3","0","0.11","4","1","0","0","0","1","0","0","0","0","0","0","1","0","0","8","0","0","0","-"
"Ridly Greig","C","13.4","1","0","0","0","1","2","50","1.02","2","2","1","1","0","0","0","0","0","0","0","1","0","0","2","2","0","6","3","66.67"
"Shane Pinto","C","14.883333333333","1","0","0","0","1","5","20","0.66","7","4","2","0","1","0","0","0","0","0","0","1","1","0","1","0","0","9","9","50"
"Thomas Chabot","D","19.25","0","1","0","1","1","3","0","0.04","4","2","0","0","0","0","0","0","0","0","0","0","1","0","0","2","3","0","0","-"
"Tim Stützle","C","15.783333333333","0","1","1","0","1","2","0","0.23","2","1","1","0","0","1","0","0","0","0","0","0","0","0","2","2","1","1","1","50"
"Travis Hamonic","D","17.116666666667","0","0","0","0","0","0","-","0.05","5","2","0","0","1","0","2","1","1","0","0","0","4","0","2","2","0","0","0","-"
"Tyler Kleven","D","13.3","0","0","0","0","0","1","0","0.01","3","1","0","0","0","0","0","0","0","0","0","0","1","0","0","3","0","0","0","-"
"Zack Ostapchuk","C","7.9333333333333","0","0","0","0","0","1","0","0.19","1","1","1","0","1","0","2","1","1","0","0","2","0","0","2","1","0","3","1","75"
